Ime,Simbol,Drzava,Trenutna_cena,Dnevna_sprem.,Dobiček,Volumen_delnice,PE Ratio,Dividend,Volume,52-Week Range,Beta,Earnings Date,Link_za_več
"Krka, d. d.",KRKG,Slovenia,200.0,0.76%,1.97B,6.06B,15.98,8.25 (4.16%),"7,695",132.00 - 202.00,0.49,"Nov 13, 2025",https://stockanalysis.com/quote/ljse/KRKG/
Nova Ljubljanska Banka d.d.,NLBR,Slovenia,165.5,0.30%,1.31B,3.30B,6.65,6.43 (3.90%),"2,482",117.00 - 171.00,0.71,"Aug 7, 2025",https://stockanalysis.com/quote/ljse/NLBR/
Petrol d.d.,PETG,Slovenia,52.0,-0.38%,6.15B,2.15B,13.05,2.10 (4.02%),"2,419",28.60 - 55.80,0.40,"Aug 26, 2025",https://stockanalysis.com/quote/ljse/PETG/
"Zavarovalnica Triglav, d.d.",ZVTG,Slovenia,57.2,-1.72%,1.39B,1.30B,11.33,2.80 (4.90%),"9,544",37.60 - 62.00,0.46,"Aug 20, 2025",https://stockanalysis.com/quote/ljse/ZVTG/
Luka Koper d.d.,LKPG,Slovenia,68.5,-0.73%,354.63M,966.00M,13.61,2.10 (3.04%),"1,177",37.50 - 73.00,0.60,"Aug 21, 2025",https://stockanalysis.com/quote/ljse/LKPG/
"Pozavarovalnica Sava, d.d.",POSR,Slovenia,59.5,1.71%,892.83M,922.11M,9.18,2.25 (3.78%),601,38.00 - 63.00,0.71,"Aug 22, 2025",https://stockanalysis.com/quote/ljse/POSR/
"Telekom Slovenije, d.d.",TLSG,Slovenia,96.5,-1.03%,720.19M,627.12M,11.37,4.00 (4.10%),653,69.00 - 104.00,0.18,"Aug 29, 2025",https://stockanalysis.com/quote/ljse/TLSG/
"SALUS, Ljubljana, d. d.",SALR,Slovenia,42.8,3.38%,649.36M,351.78M,26.62,1.03 (2.45%),"3,958",25.39 - 46.00,0.43,"Aug 12, 2025",https://stockanalysis.com/quote/ljse/SALR/
"Cinkarna Celje, d. d.",CICG,Slovenia,34.7,-0.29%,213.91M,270.79M,9.68,4.10 (11.78%),"2,647",23.60 - 36.20,0.53,"Sep 12, 2025",https://stockanalysis.com/quote/ljse/CICG/
EQUINOX NEPREMICNINE d.d.,EQNX,Slovenia,65.5,-,9.71M,116.97M,90.11,1.83 (2.79%),49,54.50 - 65.50,-0.05,"Oct 20, 2025",https://stockanalysis.com/quote/ljse/EQNX/
"CETIS, Graphic and Documentation Services, d.d.",CETG,Slovenia,486.0,-,113.62M,97.20M,5.98,2.00 (0.41%),24,416.00 - 486.00,-0.27,"Sep 26, 2025",https://stockanalysis.com/quote/ljse/CETG/
"Terme Catez, d.d.",TCRG,Slovenia,60.0,-,39.05M,29.41M,11.56,1.01 (1.68%),1,45.00 - 64.00,0.00,"Sep 12, 2025",https://stockanalysis.com/quote/ljse/TCRG/
UNIOR Kovaska industrija d.d.,UKIG,Slovenia,8.0,-,278.75M,20.19M,n/a,n/a,"1,000",6.30 - 10.90,0.26,"Aug 29, 2025",https://stockanalysis.com/quote/ljse/UKIG/
"Mladinska knjiga Zalozba, d. d.",MKZG,Slovenia,6.2,-,77.76M,7.39M,6.33,n/a,467,4.00 - 6.20,-1.40,"Jun 4, 2025",https://stockanalysis.com/quote/ljse/MKZG/
